Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
135,Alabama,36,2024-03-30,N,Clemson,W,89,82,29,62,.468,16,36,.444,15,22,.682,14,40,20,3,6,12,17,33,69,.478,8,26,.308,8,16,.500,8,28,15,6,2,6,20
136,Alabama,37,2024-04-06,N,Connecticut,L,72,86,26,58,.448,11,23,.478,9,11,.818,7,28,9,2,5,7,15,31,62,.500,10,25,.400,14,18,.778,10,35,20,4,8,4,17
137,Alabama A&M,1,2023-11-09,@,North Alabama,L,67,83,20,56,.357,4,14,.286,23,36,.639,12,34,9,9,2,17,20,26,54,.481,8,23,.348,23,27,.852,6,32,14,8,2,16,27
138,Alabama A&M,2,2023-11-18,@,Lipscomb,L,81,106,29,69,.420,6,21,.286,17,27,.630,16,37,12,10,4,15,16,36,64,.563,18,32,.563,16,19,.842,6,30,26,10,7,14,18
139,Alabama A&M,3,2023-11-21,@,Auburn,L,54,84,19,57,.333,3,15,.200,13,17,.765,6,25,6,8,3,13,26,26,55,.473,6,24,.250,26,36,.722,13,45,19,9,6,13,17
140,Alabama A&M,4,2023-11-24,N,East Tennessee State,L,71,82,22,51,.431,6,13,.462,21,25,.840,7,29,11,5,2,14,26,25,56,.446,13,31,.419,19,29,.655,9,31,15,7,2,11,22
141,Alabama A&M,5,2023-11-25,@,Cleveland State,L,59,86,20,55,.364,1,14,.071,18,31,.581,14,26,14,10,1,20,20,28,50,.560,8,19,.421,22,26,.846,10,31,16,14,6,16,21
142,Alabama A&M,6,2023-11-29,,Tennessee State,W (1 OT),85,83,25,58,.431,4,13,.308,31,39,.795,12,39,10,7,7,15,19,29,70,.414,8,24,.333,17,26,.654,12,33,19,10,2,15,24
143,Alabama A&M,7,2023-12-02,@,Vanderbilt,L,59,78,18,63,.286,4,21,.190,19,20,.950,10,37,8,4,0,12,26,23,53,.434,8,25,.320,24,34,.706,9,40,16,5,2,9,15
144,Alabama A&M,8,2023-12-09,@,Georgia Tech,L,49,70,16,58,.276,2,20,.100,15,20,.750,7,23,4,12,4,7,20,24,56,.429,8,28,.286,14,22,.636,19,51,15,3,2,19,14
145,Alabama A&M,9,2023-12-11,@,Samford,L,91,118,31,61,.508,2,7,.286,27,39,.692,10,31,9,18,3,27,25,36,66,.545,18,30,.600,28,33,.848,9,31,25,19,5,26,28
146,Alabama A&M,10,2023-12-13,,UAB,L,82,93,26,58,.448,11,23,.478,19,22,.864,9,26,14,5,4,12,23,30,59,.508,8,15,.533,25,36,.694,16,39,19,9,3,10,19
147,Alabama A&M,11,2023-12-16,,Chattanooga,L,72,88,28,58,.483,4,19,.211,12,21,.571,9,27,13,5,4,14,21,29,54,.537,10,26,.385,20,28,.714,7,34,16,9,1,12,21
148,Alabama A&M,12,2023-12-21,@,South Alabama,L,67,83,25,63,.397,1,12,.083,16,23,.696,9,37,7,6,5,14,18,27,68,.397,6,25,.240,23,31,.742,14,43,9,6,3,9,23
149,Alabama A&M,13,2023-12-30,@,Georgia,L,73,93,25,53,.472,5,11,.455,18,23,.783,5,28,12,8,4,20,21,34,67,.507,10,24,.417,15,27,.556,12,36,19,15,6,12,22
150,Alabama A&M,14,2024-01-06,@,Arkansas-Pine Bluff,W,63,62,26,52,.500,4,9,.444,7,14,.500,11,38,14,9,4,26,21,19,51,.373,7,28,.250,17,21,.810,3,20,11,16,3,14,13
151,Alabama A&M,15,2024-01-08,@,Mississippi Valley State,W,78,70,27,54,.500,6,12,.500,18,25,.720,8,29,17,8,2,11,23,23,55,.418,4,18,.222,20,25,.800,11,26,8,5,3,11,18
152,Alabama A&M,16,2024-01-11,,Alcorn State,L,71,74,25,54,.463,9,24,.375,12,16,.750,9,25,9,4,6,13,19,27,62,.435,6,13,.462,14,21,.667,17,34,14,11,1,11,14
153,Alabama A&M,17,2024-01-13,,Jackson State,L,67,75,19,47,.404,4,12,.333,25,33,.758,7,30,7,2,5,13,25,22,59,.373,8,22,.364,23,32,.719,14,35,9,6,3,11,24
154,Alabama A&M,18,2024-01-15,N,Alabama State,L,55,72,18,45,.400,3,14,.214,16,27,.593,11,35,5,5,10,19,19,23,60,.383,9,19,.474,17,21,.810,12,31,11,11,5,8,21
155,Alabama A&M,19,2024-01-27,@,Texas Southern,L,69,85,18,52,.346,5,16,.313,28,36,.778,8,25,8,6,1,12,29,22,53,.415,9,19,.474,32,42,.762,14,41,13,9,3,16,24
156,Alabama A&M,20,2024-01-29,@,Prairie View,L,76,87,28,60,.467,6,16,.375,14,26,.538,7,28,15,13,4,18,26,28,56,.500,2,6,.333,29,38,.763,9,35,10,11,3,15,19
157,Alabama A&M,21,2024-02-03,,Florida A&M,W,73,61,21,48,.438,5,16,.313,26,34,.765,5,30,11,13,3,13,15,24,60,.400,4,16,.250,9,14,.643,8,35,15,7,1,15,20
158,Alabama A&M,22,2024-02-05,,Bethune-Cookman,W,72,68,24,52,.462,4,13,.308,20,27,.741,12,36,11,4,2,16,16,22,53,.415,7,22,.318,17,21,.810,4,22,10,12,5,12,19
159,Alabama A&M,23,2024-02-10,@,Southern,L,62,69,21,52,.404,4,13,.308,16,24,.667,9,32,7,4,4,20,27,18,54,.333,5,18,.278,28,37,.757,13,33,12,11,7,11,23
160,Alabama A&M,24,2024-02-12,@,Grambling,W,60,50,19,56,.339,0,9,.000,22,30,.733,16,50,4,8,4,17,19,16,55,.291,2,16,.125,16,27,.593,11,31,4,11,6,13,19
161,Alabama A&M,25,2024-02-17,,Mississippi Valley State,W,80,57,25,51,.490,5,14,.357,25,29,.862,8,31,12,8,6,10,21,17,52,.327,5,16,.313,18,22,.818,9,24,5,7,1,16,22
162,Alabama A&M,26,2024-02-19,,Arkansas-Pine Bluff,W,75,67,27,69,.391,3,16,.188,18,28,.643,14,46,14,8,5,10,17,21,66,.318,9,34,.265,16,19,.842,7,38,12,4,2,12,22
163,Alabama A&M,27,2024-02-24,@,Bethune-Cookman,L,61,63,21,42,.500,4,9,.444,15,23,.652,4,27,19,6,4,19,22,19,54,.352,4,15,.267,21,25,.840,9,26,10,12,2,11,18
164,Alabama A&M,28,2024-02-26,@,Florida A&M,L,58,76,21,47,.447,2,13,.154,14,21,.667,9,26,6,9,3,23,16,28,55,.509,7,12,.583,13,16,.813,8,27,13,15,4,16,16
165,Alabama A&M,29,2024-03-02,,Alabama State,W,58,53,19,51,.373,3,14,.214,17,24,.708,11,40,8,7,9,12,14,16,60,.267,10,27,.370,11,14,.786,9,28,12,9,6,11,18
166,Alabama A&M,30,2024-03-07,,Grambling,L,73,74,26,58,.448,3,13,.231,18,23,.783,12,29,12,10,0,15,24,22,45,.489,2,6,.333,28,33,.848,8,29,6,11,2,17,23
167,Alabama A&M,31,2024-03-09,,Southern,W,66,56,21,45,.467,5,13,.385,19,28,.679,6,24,12,10,3,12,18,16,43,.372,7,24,.292,17,23,.739,9,27,11,5,4,23,22
168,Alabama A&M,32,2024-03-13,N,Alcorn State,W,75,63,23,56,.411,7,22,.318,22,26,.846,11,38,15,5,3,13,22,20,54,.370,5,17,.294,18,25,.720,8,32,11,8,1,13,21
169,Alabama A&M,33,2024-03-15,N,Texas Southern,L,65,72,20,55,.364,4,17,.235,21,28,.750,7,32,9,5,6,12,21,25,58,.431,6,19,.316,16,20,.800,5,28,10,6,3,9,22
170,Alabama A&M,34,2024-03-20,@,Austin Peay,W,81,71,31,58,.534,1,9,.111,18,24,.750,11,46,11,6,6,17,17,24,67,.358,6,29,.207,17,22,.773,10,28,10,10,1,9,17
171,Alabama A&M,35,2024-03-23,@,Norfolk State,L,66,81,22,54,.407,8,19,.421,14,17,.824,7,27,14,4,3,14,15,31,66,.470,8,20,.400,11,16,.688,14,35,18,10,1,7,15
172,Alabama State,1,2023-11-06,@,Mississippi,L,59,69,17,62,.274,9,25,.360,16,21,.762,7,38,9,6,3,11,20,25,68,.368,7,29,.241,12,25,.480,11,43,14,6,8,8,15
173,Alabama State,2,2023-11-10,@,Iowa,L,67,98,23,65,.354,6,22,.273,15,20,.750,12,39,7,5,3,15,29,33,72,.458,9,29,.310,23,35,.657,17,44,27,6,3,6,15
174,Alabama State,3,2023-11-14,,NON-FBS-SCHOOL,W,115,51,41,76,.539,12,32,.375,21,27,.778,15,54,24,15,9,9,17,15,56,.268,7,29,.241,14,22,.636,4,23,7,4,2,19,16
175,Alabama State,4,2023-11-17,@,Memphis,L,75,92,27,86,.314,10,26,.385,11,15,.733,22,37,11,12,3,8,22,32,61,.525,11,25,.440,17,23,.739,12,46,12,7,7,17,14
176,Alabama State,5,2023-11-22,@,Samford,L,67,99,24,69,.348,7,29,.241,12,19,.632,11,29,10,8,2,10,16,36,62,.581,16,35,.457,11,15,.733,6,38,26,5,1,13,15
177,Alabama State,6,2023-11-24,N,North Carolina A&T,W,88,73,34,61,.557,7,16,.438,13,20,.650,10,34,16,6,1,10,23,19,55,.345,8,29,.276,27,32,.844,7,26,12,6,3,10,17
178,Alabama State,7,2023-11-25,N,Merrimack,W (1 OT),66,60,20,63,.317,4,20,.200,22,26,.846,9,40,11,7,2,12,21,18,56,.321,5,29,.172,19,24,.792,7,37,11,9,0,16,20
179,Alabama State,8,2023-12-03,,NON-FBS-SCHOOL,W,80,60,28,66,.424,10,27,.370,14,19,.737,13,36,16,8,5,9,11,22,58,.379,10,27,.370,6,10,.600,9,33,13,5,4,16,18
180,Alabama State,9,2023-12-13,@,Louisiana State,L,56,74,22,61,.361,9,26,.346,3,8,.375,11,29,10,5,1,13,18,25,48,.521,9,23,.391,15,23,.652,6,34,11,9,3,14,16
181,Alabama State,10,2023-12-19,,Southern California,L,59,79,23,70,.329,8,27,.296,5,9,.556,6,33,13,7,7,9,20,24,60,.400,10,27,.370,21,28,.750,12,49,16,4,6,11,14
182,Alabama State,11,2023-12-22,@,Auburn,L,62,82,22,56,.393,4,18,.222,14,16,.875,5,21,7,14,5,17,24,25,54,.463,6,24,.250,26,32,.813,10,35,14,11,5,17,13
183,Alabama State,12,2023-12-29,@,South Florida,L,70,73,26,68,.382,10,24,.417,8,12,.667,15,35,14,6,2,7,21,21,48,.438,14,29,.483,17,21,.810,3,28,14,3,4,8,12
184,Alabama State,13,2024-01-02,,NON-FBS-SCHOOL,W,84,53,37,76,.487,0,17,.000,10,13,.769,14,44,9,15,5,9,17,18,54,.333,7,21,.333,10,17,.588,5,29,9,4,2,22,11
185,Alabama State,14,2024-01-06,@,Mississippi Valley State,W,54,51,18,53,.340,2,17,.118,16,26,.615,13,34,5,8,0,11,18,17,40,.425,5,13,.385,12,18,.667,4,33,8,6,4,15,19
186,Alabama State,15,2024-01-08,@,Arkansas-Pine Bluff,W,83,72,29,68,.426,8,26,.308,17,22,.773,4,36,18,8,3,8,18,24,62,.387,7,27,.259,17,21,.810,4,40,16,6,3,13,16
187,Alabama State,16,2024-01-11,,Jackson State,L,63,73,23,67,.343,10,35,.286,7,9,.778,13,33,9,14,6,18,19,24,51,.471,5,17,.294,20,24,.833,8,37,10,10,6,17,12
188,Alabama State,17,2024-01-13,,Alcorn State,W,55,53,21,61,.344,6,27,.222,7,12,.583,13,35,9,13,5,10,11,22,58,.379,4,19,.211,5,9,.556,12,40,10,3,2,16,14
189,Alabama State,18,2024-01-15,N,Alabama A&M,W,72,55,23,60,.383,9,19,.474,17,21,.810,12,31,11,11,5,8,21,18,45,.400,3,14,.214,16,27,.593,11,35,5,5,10,19,19
190,Alabama State,19,2024-01-27,@,Prairie View,W,74,67,24,52,.462,6,17,.353,20,31,.645,7,36,8,7,3,16,24,22,53,.415,6,18,.333,17,27,.630,8,29,10,9,3,11,24
191,Alabama State,20,2024-01-29,@,Texas Southern,L,55,56,21,62,.339,4,22,.182,9,11,.818,9,29,7,8,3,8,20,15,42,.357,8,27,.296,18,23,.783,7,33,9,5,5,14,14
192,Alabama State,21,2024-02-03,,Bethune-Cookman,L,68,79,21,66,.318,6,29,.207,20,32,.625,15,37,8,9,4,14,16,23,53,.434,10,25,.400,23,26,.885,3,37,10,7,8,18,23
193,Alabama State,22,2024-02-05,,Florida A&M,W,62,53,22,70,.314,4,20,.200,14,18,.778,15,40,5,10,7,12,17,19,46,.413,5,15,.333,10,21,.476,3,33,10,6,3,15,16
194,Alabama State,23,2024-02-10,@,Grambling,L,68,74,25,65,.385,6,25,.240,12,17,.706,16,40,6,5,5,17,19,23,60,.383,6,17,.353,22,32,.688,13,36,10,10,5,8,14
195,Alabama State,24,2024-02-12,@,Southern,L,62,73,22,53,.415,7,17,.412,11,14,.786,5,28,12,4,1,11,20,23,54,.426,8,23,.348,19,23,.826,7,30,17,7,6,9,14
196,Alabama State,25,2024-02-17,,Arkansas-Pine Bluff,L,74,80,26,76,.342,7,42,.167,15,19,.789,15,42,8,5,3,8,19,25,56,.446,13,31,.419,17,26,.654,6,39,7,5,2,11,16
197,Alabama State,26,2024-02-19,,Mississippi Valley State,W,61,46,21,57,.368,4,21,.190,15,23,.652,9,33,11,12,6,10,17,14,51,.275,5,17,.294,13,17,.765,8,33,8,7,6,18,19
198,Alabama State,27,2024-02-24,@,Florida A&M,L,65,73,23,73,.315,3,20,.150,16,25,.640,15,32,9,10,1,7,25,21,46,.457,5,14,.357,26,31,.839,7,38,14,3,6,18,20
199,Alabama State,28,2024-02-26,@,Bethune-Cookman,L (1 OT),84,90,26,71,.366,9,34,.265,23,30,.767,17,41,14,6,5,10,20,32,73,.438,6,17,.353,20,24,.833,11,40,16,7,7,7,20
200,Alabama State,29,2024-03-02,@,Alabama A&M,L,53,58,16,60,.267,10,27,.370,11,14,.786,9,28,12,9,6,11,18,19,51,.373,3,14,.214,17,24,.708,11,40,8,7,9,12,14
201,Alabama State,30,2024-03-07,,Grambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Alabama State,31,2024-03-07,,Southern,L,57,65,20,63,.317,7,26,.269,10,11,.909,10,25,8,8,2,7,11,22,48,.458,11,21,.524,10,12,.833,10,35,10,4,8,14,15
203,Alabama State,32,2024-03-09,,Grambling,W (2 OT),87,84,30,75,.400,11,33,.333,16,21,.762,16,38,18,11,3,15,21,27,61,.443,7,22,.318,23,28,.821,8,29,12,8,4,15,18
204,Alabama State,33,2024-03-13,N,Grambling,L,50,56,17,56,.304,8,27,.296,8,11,.727,6,31,10,5,7,7,16,18,49,.367,9,19,.474,11,16,.688,6,33,9,2,7,10,11
205,Albany (NY),1,2023-11-07,@,Massachusetts,L,71,92,20,56,.357,9,26,.346,22,31,.710,7,34,10,2,5,17,23,33,76,.434,10,22,.455,16,26,.615,15,38,20,12,4,4,21
206,Albany (NY),2,2023-11-11,@,Columbia,W,78,75,27,59,.458,6,17,.353,18,27,.667,12,39,14,4,3,14,18,23,57,.404,7,22,.318,22,24,.917,2,23,11,7,3,10,19
207,Albany (NY),3,2023-11-15,@,Seton Hall,L,71,96,25,61,.410,8,28,.286,13,19,.684,10,28,12,7,3,12,20,36,58,.621,5,14,.357,19,25,.760,7,29,17,11,3,9,13
208,Albany (NY),4,2023-11-19,@,Quinnipiac,L,82,85,29,73,.397,7,20,.350,17,23,.739,14,38,11,7,6,10,21,30,68,.441,1,7,.143,24,30,.800,14,39,13,3,7,11,16
209,Albany (NY),5,2023-11-21,,Army,W,62,59,22,53,.415,7,21,.333,11,14,.786,6,31,8,5,4,11,17,22,62,.355,4,18,.222,11,17,.647,12,31,7,7,3,7,10
210,Albany (NY),6,2023-11-26,@,Siena,W,86,51,36,70,.514,6,19,.316,8,9,.889,14,43,14,12,1,11,18,20,61,.328,3,14,.214,8,13,.615,12,29,9,6,3,18,9
211,Albany (NY),7,2023-11-29,,Boston University,W,86,72,25,55,.455,14,32,.438,22,37,.595,6,32,15,9,4,10,22,25,65,.385,4,14,.286,18,26,.692,10,38,9,6,4,13,25
212,Albany (NY),8,2023-12-02,,Dartmouth,W,73,68,27,63,.429,5,20,.250,14,24,.583,9,38,14,11,1,14,20,25,56,.446,6,26,.231,12,16,.750,3,34,10,5,9,17,23
213,Albany (NY),9,2023-12-05,,NON-FBS-SCHOOL,W,98,59,39,73,.534,9,23,.391,11,15,.733,9,38,20,17,3,13,14,22,65,.338,4,19,.211,11,13,.846,7,32,7,5,5,21,10
214,Albany (NY),10,2023-12-10,N,Temple,L,73,78,27,62,.435,5,24,.208,14,18,.778,10,33,16,8,6,16,22,26,57,.456,4,16,.250,22,32,.688,11,33,12,10,3,13,16
215,Albany (NY),11,2023-12-16,@,Drexel,L,52,71,21,67,.313,4,22,.182,6,7,.857,8,22,10,10,2,9,16,29,66,.439,6,17,.353,7,11,.636,19,50,12,4,6,18,11
216,Albany (NY),12,2023-12-19,,Sacred Heart,W,93,79,31,58,.534,10,21,.476,21,26,.808,10,38,18,7,1,17,13,34,65,.523,5,18,.278,6,13,.462,5,22,19,8,3,10,18
217,Albany (NY),13,2023-12-22,@,South Florida,L,73,89,28,64,.438,7,21,.333,10,15,.667,13,35,13,8,2,19,23,31,65,.477,6,23,.261,21,30,.700,15,37,16,7,3,11,13
218,Albany (NY),14,2023-12-28,@,Long Island University,W,86,69,29,56,.518,5,15,.333,23,31,.742,13,41,16,16,5,22,16,25,56,.446,3,17,.176,16,24,.667,4,22,12,16,3,19,22
219,Albany (NY),15,2024-01-02,@,Harvard,L,71,76,28,58,.483,4,21,.190,11,17,.647,7,30,8,10,4,16,22,27,58,.466,5,19,.263,17,28,.607,13,34,14,12,1,12,15
220,Albany (NY),16,2024-01-06,@,NJIT,W,79,73,26,63,.413,8,24,.333,19,25,.760,16,38,13,7,4,14,15,28,63,.444,4,19,.211,13,17,.765,12,34,11,9,6,14,23
221,Albany (NY),17,2024-01-13,,Binghamton,W,95,75,37,79,.468,11,27,.407,10,15,.667,15,37,17,10,3,3,21,27,55,.491,3,9,.333,18,26,.692,11,31,14,1,6,14,16
222,Albany (NY),18,2024-01-18,,Massachusetts-Lowell,L,76,97,28,65,.431,6,23,.261,14,19,.737,7,24,9,4,3,11,21,36,56,.643,5,10,.500,20,25,.800,4,31,17,7,7,10,20
223,Albany (NY),19,2024-01-20,,Bryant,L,89,98,31,76,.408,7,24,.292,20,24,.833,11,36,13,9,3,17,26,35,68,.515,7,22,.318,21,30,.700,11,35,12,10,12,14,21
224,Albany (NY),20,2024-01-25,@,Maine,L,73,81,28,55,.509,5,16,.313,12,21,.571,4,27,16,10,5,15,19,29,55,.527,8,16,.500,15,23,.652,7,31,19,8,2,17,17
225,Albany (NY),21,2024-01-27,@,New Hampshire,W,86,79,28,58,.483,6,18,.333,24,27,.889,7,36,15,8,2,15,22,26,60,.433,4,24,.167,23,30,.767,3,24,10,11,6,10,21
226,Albany (NY),22,2024-02-01,@,Vermont,L,59,81,23,65,.354,7,28,.250,6,10,.600,8,29,10,9,1,12,16,29,54,.537,6,22,.273,17,21,.810,5,36,19,6,5,13,13
227,Albany (NY),23,2024-02-03,,Maryland-Baltimore County,L,102,114,40,80,.500,15,39,.385,7,11,.636,9,31,17,8,4,11,24,42,73,.575,6,16,.375,24,29,.828,8,36,23,7,4,10,9
228,Albany (NY),24,2024-02-08,@,Binghamton,L,57,69,20,64,.313,8,34,.235,9,13,.692,7,26,10,4,4,5,15,28,57,.491,2,13,.154,11,15,.733,7,43,10,3,2,11,13
229,Albany (NY),25,2024-02-15,,NJIT,W,83,58,32,60,.533,10,23,.435,9,15,.600,8,35,15,10,1,11,11,23,63,.365,5,20,.250,7,12,.583,10,28,7,7,3,12,14
230,Albany (NY),26,2024-02-17,@,Maryland-Baltimore County,L,75,80,27,64,.422,9,25,.360,12,15,.800,12,35,12,7,1,14,19,29,57,.509,6,20,.300,16,20,.800,6,29,11,9,5,15,13
231,Albany (NY),27,2024-02-22,,Vermont,L,80,94,29,62,.468,11,25,.440,11,14,.786,7,25,12,7,2,12,19,32,58,.552,8,24,.333,22,28,.786,8,30,16,5,3,10,12
232,Albany (NY),28,2024-02-24,@,Massachusetts-Lowell,L,95,104,36,77,.468,8,21,.381,15,19,.789,11,25,6,9,1,9,31,32,55,.582,4,15,.267,36,47,.766,11,40,13,8,2,16,17
233,Albany (NY),29,2024-02-29,,New Hampshire,W,91,67,36,66,.545,13,35,.371,6,7,.857,6,34,15,9,5,12,17,22,62,.355,9,26,.346,14,17,.824,11,31,10,7,1,16,9
234,Albany (NY),30,2024-03-02,,Maine,L (1 OT),71,74,25,60,.417,3,16,.188,18,20,.900,10,32,7,7,2,10,19,27,60,.450,4,18,.222,16,23,.696,7,30,11,6,7,11,13
235,Albany (NY),31,2024-03-05,@,Bryant,L,79,83,31,79,.392,9,27,.333,8,16,.500,14,36,14,11,2,10,18,30,58,.517,9,20,.450,14,21,.667,7,39,19,5,13,14,14
236,Albany (NY),32,2024-03-09,@,Vermont,L,72,75,27,58,.466,8,22,.364,10,10,1.000,9,31,11,4,8,11,23,24,55,.436,4,16,.250,23,32,.719,10,31,10,7,5,7,13
237,Alcorn State,1,2023-11-06,@,Arkansas,L,59,93,20,51,.392,3,9,.333,16,26,.615,6,24,7,7,3,16,27,28,54,.519,12,30,.400,25,37,.676,13,41,20,10,4,14,22
238,Alcorn State,2,2023-11-08,,NON-FBS-SCHOOL,W,70,62,24,60,.400,3,15,.200,19,30,.633,13,39,10,10,0,7,18,21,53,.396,8,20,.400,12,20,.600,8,29,8,5,3,12,24
239,Alcorn State,3,2023-11-14,@,Arkansas State,L,86,100,28,56,.500,3,7,.429,27,34,.794,11,32,10,9,1,7,16,34,65,.523,19,43,.442,13,17,.765,11,31,28,4,5,10,23
240,Alcorn State,4,2023-11-16,@,UAB,L,77,80,30,74,.405,6,24,.250,11,18,.611,9,29,10,17,3,11,21,27,57,.474,7,19,.368,19,28,.679,11,42,10,9,7,18,17
241,Alcorn State,5,2023-11-19,@,Michigan State,L,49,81,16,61,.262,5,18,.278,12,20,.600,12,36,9,5,1,11,17,30,57,.526,10,25,.400,11,21,.524,9,36,24,7,9,9,18
242,Alcorn State,6,2023-11-21,@,TCU,L,74,93,27,63,.429,6,19,.316,14,23,.609,10,34,14,7,1,17,24,27,57,.474,7,27,.259,32,39,.821,8,35,20,11,5,13,21
243,Alcorn State,7,2023-11-22,@,UT Arlington,L,69,82,25,63,.397,9,21,.429,10,13,.769,4,20,14,4,0,1,18,29,61,.475,13,38,.342,11,15,.733,15,44,24,1,4,10,17
244,Alcorn State,8,2023-11-24,@,Clemson,L,69,90,26,52,.500,5,14,.357,12,21,.571,2,28,8,4,3,7,16,34,70,.486,11,29,.379,11,18,.611,10,38,26,5,2,6,15
245,Alcorn State,9,2023-12-10,@,Virginia Commonwealth,L,58,86,19,55,.345,4,14,.286,16,19,.842,7,27,9,6,0,10,14,29,60,.483,17,39,.436,11,13,.846,9,34,22,8,7,11,16
246,Alcorn State,10,2023-12-12,@,Maryland,L,65,105,26,59,.441,5,9,.556,8,16,.500,10,26,9,6,2,17,24,30,57,.526,14,30,.467,31,40,.775,11,33,20,9,5,8,14
247,Alcorn State,11,2023-12-17,@,Northern Iowa,L,82,100,30,56,.536,7,13,.538,15,22,.682,6,25,13,8,2,10,15,34,60,.567,14,29,.483,18,21,.857,6,25,21,5,3,9,17
248,Alcorn State,12,2023-12-19,@,Drake,L,55,92,19,61,.311,4,15,.267,13,22,.591,4,30,5,6,3,13,21,30,65,.462,12,35,.343,20,24,.833,8,46,21,6,7,11,22
249,Alcorn State,13,2023-12-21,@,George Washington,L,75,79,32,72,.444,4,15,.267,7,8,.875,12,36,10,7,3,15,19,24,50,.480,15,34,.441,16,23,.696,6,27,16,6,5,14,11
250,Alcorn State,14,2024-01-06,@,Jackson State,L,80,88,30,72,.417,2,17,.118,18,23,.783,15,33,9,7,0,5,15,32,64,.500,8,27,.296,16,20,.800,15,36,17,2,5,10,15
251,Alcorn State,15,2024-01-11,@,Alabama A&M,W,74,71,27,62,.435,6,13,.462,14,21,.667,17,34,14,11,1,11,14,25,54,.463,9,24,.375,12,16,.750,9,25,9,4,6,13,19
252,Alcorn State,16,2024-01-13,@,Alabama State,L,53,55,22,58,.379,4,19,.211,5,9,.556,12,40,10,3,2,16,14,21,61,.344,6,27,.222,7,12,.583,13,35,9,13,5,10,11
253,Alcorn State,17,2024-01-20,,Texas Southern,L,61,72,22,52,.423,4,11,.364,13,19,.684,9,29,9,7,2,14,17,24,59,.407,10,29,.345,14,17,.824,12,26,12,5,3,16,16
254,Alcorn State,18,2024-01-22,,Prairie View,W,90,78,31,48,.646,6,12,.500,22,30,.733,7,30,14,4,1,11,20,29,58,.500,6,19,.316,14,23,.609,9,19,11,8,1,9,24
255,Alcorn State,19,2024-01-27,@,Florida A&M,W,76,67,30,55,.545,6,14,.429,10,14,.714,7,27,13,9,1,12,13,22,53,.415,12,25,.480,11,15,.733,10,27,17,4,0,15,15
256,Alcorn State,20,2024-01-29,@,Bethune-Cookman,W,70,67,24,51,.471,3,13,.231,19,22,.864,10,36,14,6,2,14,12,23,58,.397,8,24,.333,13,15,.867,6,20,20,8,5,9,15
257,Alcorn State,21,2024-02-03,,Southern,L,70,71,18,50,.360,9,20,.450,25,31,.806,10,33,9,9,0,11,20,22,48,.458,12,23,.522,15,25,.600,5,26,10,8,3,10,22
258,Alcorn State,22,2024-02-05,,Grambling,L,67,78,24,49,.490,3,13,.231,16,19,.842,4,21,8,2,1,8,15,28,55,.509,9,16,.563,13,16,.813,10,27,10,6,3,7,18
259,Alcorn State,23,2024-02-10,@,Arkansas-Pine Bluff,W,68,56,25,60,.417,5,18,.278,13,24,.542,12,39,17,14,3,9,18,19,50,.380,6,27,.222,12,20,.600,8,35,14,5,6,18,16
260,Alcorn State,24,2024-02-12,@,Mississippi Valley State,W,72,55,26,54,.481,6,11,.545,14,23,.609,10,29,13,12,4,7,13,21,47,.447,8,22,.364,5,8,.625,3,22,12,5,3,19,17
261,Alcorn State,25,2024-02-17,,Bethune-Cookman,W,69,54,25,47,.532,6,15,.400,13,17,.765,11,40,15,2,1,17,18,18,48,.375,5,14,.357,13,20,.650,4,14,8,11,0,10,17
262,Alcorn State,26,2024-02-19,,Florida A&M,W,79,68,26,64,.406,5,17,.294,22,30,.733,15,35,12,8,4,5,16,22,54,.407,3,16,.188,21,21,1.000,11,32,7,2,3,15,21
263,Alcorn State,27,2024-02-24,,Jackson State,W (1 OT),87,73,30,59,.508,7,17,.412,20,23,.870,8,30,19,7,5,9,16,28,57,.491,8,21,.381,9,15,.600,4,23,12,6,4,12,18
264,Alcorn State,28,2024-03-02,@,Prairie View,W,73,65,26,53,.491,7,20,.350,14,23,.609,8,28,14,6,3,15,19,23,54,.426,4,13,.308,15,22,.682,8,25,15,7,6,7,15
265,Alcorn State,29,2024-03-04,@,Texas Southern,W,82,79,28,63,.444,2,13,.154,24,28,.857,12,34,10,4,0,10,16,30,62,.484,12,32,.375,7,12,.583,8,24,17,7,6,7,20
266,Alcorn State,30,2024-03-07,,Mississippi Valley State,W,74,67,29,54,.537,10,21,.476,6,8,.750,9,27,20,2,0,9,16,25,48,.521,8,18,.444,9,16,.563,3,15,13,6,0,6,8
267,Alcorn State,31,2024-03-09,,Arkansas-Pine Bluff,W,104,95,33,63,.524,6,18,.333,32,38,.842,13,44,12,3,3,11,24,29,66,.439,11,31,.355,26,31,.839,9,25,12,5,1,6,26
268,Alcorn State,32,2024-03-13,N,Alabama A&M,L,63,75,20,54,.370,5,17,.294,18,25,.720,8,32,11,8,1,13,21,23,56,.411,7,22,.318,22,26,.846,11,38,15,5,3,13,22
