Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2017-11-10,,NON-FBS-SCHOOL,W,86,68,32,61,.525,4,16,.250,18,28,.643,10,44,16,9,5,18,18,26,71,.366,10,29,.345,6,11,.545,11,34,11,4,2,17,23
1,Abilene Christian,2,2017-11-13,@,Arkansas State,L,69,83,25,49,.510,3,17,.176,16,20,.800,6,20,11,4,2,14,24,28,50,.560,7,14,.500,20,26,.769,9,29,9,7,1,14,19
2,Abilene Christian,3,2017-11-16,,NON-FBS-SCHOOL,W,112,62,42,67,.627,9,19,.474,19,24,.792,11,44,24,12,3,10,23,16,51,.314,6,29,.207,24,30,.800,5,21,6,2,0,18,20
3,Abilene Christian,4,2017-11-20,,Lipscomb,L,67,75,25,56,.446,6,20,.300,11,18,.611,6,30,14,7,2,16,20,27,54,.500,7,21,.333,14,20,.700,6,34,13,6,0,18,21
4,Abilene Christian,5,2017-11-24,@,Campbell,W (1 OT),85,80,33,65,.508,8,14,.571,11,11,1.000,4,29,21,8,4,14,18,27,55,.491,6,20,.300,20,25,.800,5,28,15,4,7,14,14
5,Abilene Christian,6,2017-11-25,N,South Carolina Upstate,L,78,88,27,58,.466,8,23,.348,16,17,.941,10,27,13,8,1,11,14,29,54,.537,13,29,.448,17,18,.944,6,27,17,7,2,12,12
6,Abilene Christian,7,2017-11-26,N,Bowling Green State,W,88,83,34,64,.531,6,16,.375,14,18,.778,10,36,18,2,6,8,18,30,72,.417,8,24,.333,15,22,.682,17,37,9,4,3,8,18
7,Abilene Christian,8,2017-12-02,,NON-FBS-SCHOOL,W,71,43,30,65,.462,4,19,.211,7,14,.500,6,37,23,19,3,13,22,11,45,.244,6,24,.250,15,27,.556,9,35,6,5,3,26,16
8,Abilene Christian,9,2017-12-06,@,Air Force,W,62,58,23,54,.426,9,25,.360,7,15,.467,7,24,11,8,4,12,16,25,51,.490,3,18,.167,5,8,.625,5,33,15,5,2,20,14
9,Abilene Christian,10,2017-12-09,,Texas State,W,72,68,26,58,.448,10,29,.345,10,17,.588,6,25,16,4,7,9,15,26,56,.464,6,16,.375,10,17,.588,7,33,13,3,3,11,17
10,Abilene Christian,11,2017-12-17,@,Lipscomb,L,65,67,25,62,.403,6,21,.286,9,11,.818,7,29,7,15,4,24,27,20,52,.385,3,20,.150,24,31,.774,9,34,14,8,2,29,14
11,Abilene Christian,12,2017-12-19,,NON-FBS-SCHOOL,W,109,60,45,70,.643,15,32,.469,4,6,.667,12,41,30,16,11,15,19,23,61,.377,7,17,.412,7,13,.538,9,22,10,7,2,21,9
12,Abilene Christian,13,2017-12-22,@,Texas Tech,L,47,74,18,61,.295,4,20,.200,7,7,1.000,5,29,6,5,0,10,26,25,49,.510,7,18,.389,17,34,.500,8,40,16,4,4,12,10
13,Abilene Christian,14,2017-12-28,@,New Orleans,L,74,77,24,48,.500,8,18,.444,18,25,.720,4,23,15,11,4,15,31,22,44,.500,0,6,.000,33,47,.702,5,27,16,10,3,16,21
